,Unnamed: 0,SGA_ID_1,GALAXY,RA_LEDA,DEC_LEDA,MORPHTYPE,PA_LEDA,D25_LEDA,BA_LEDA,Z_LEDA,SB_D25_LEDA,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,FLUX_W2,FLUX_W3,FLUX_W4,DIST,LUM_W1,LUM_W2,LUM_W3,LUM_W4
147128,287030,528781.0,PGC659235,37.8255,-34.6606667,,148.0,0.5011872,0.3715352,0.07139939,24.84848,109.39226,269.4964,538.28864,598.46027,393.9947,1434.3955,925.29694,322.28087639094014,12288656256.163797,8316861163.243819,27241933306.063614,18450623857.601955
5506,9839,491031.0,PGC715084,11.574,-30.6135278,,6.0,0.3981072,0.34673685,0.08669998,24.78848,90.16727,237.42436,478.77792,436.71487,278.52512,239.82639,1350.4913,395.5030156496569,13505092971.938856,8854498497.120184,5214659274.780926,41352598789.185196
71353,148482,1279221.0,SDSSJ093507.15+220513.6,143.7798195,22.0870703,E?,83.05,0.38018936,0.25351286,0.08178324,25.12948,49.533585,130.06883,249.66583,289.30338,189.01114,359.22885,887.3707,371.8183484902683,7907061973.474876,5310666587.832816,8478892103.105936,24010964209.268684
97952,203157,926648.0,SDSSJ131332.08+072707.8,198.3837465,7.452136200000001,,171.13,0.41399965,0.23988329,0.08682606,25.51748,40.15592,87.25487,164.07126,155.86343,97.00981,480.21356,746.382,396.11228367946484,4834826011.700705,3093515345.4130282,13995576915.06094,23081466527.57884
88703,186354,641057.0,PGC2559097,124.912098,57.1737137,Sab,0.34,0.38815036,0.42072663,0.089307114,24.79648,62.980404,167.18735,345.8736,373.79642,236.32774,407.80148,623.39825,408.12120772989505,12308736198.930943,8000056020.679654,11360594823.51728,19991597389.50147
138041,272059,388402.0,SDSSJ114415.77+624950.8,176.0658315,62.830803,SBcd,80.35,0.59979105,0.37068072,0.05008365,24.85948,161.99823,256.19528,342.3456,201.25633,111.41042,323.92334,1010.76025,222.6743598253012,1972831409.4568613,1122706498.0886214,2834466122.56223,9883339972.003578
23653,49163,1204671.0,PGC1639087,209.4481185,20.934482,S?,90.51,0.66069347,0.27542287,0.055694193,24.877481,181.02426,378.4231,711.2836,664.13824,432.49612,1720.1366,1524.1024,248.61764386655486,8115632630.498755,5433080106.335937,19544735429.05931,18317723147.054344
43438,89275,380605.0,PGC2025463,202.14104250000003,33.1731861,E?,28.02,0.40738028,0.4365158,0.0600342,25.15848,49.295696,111.68394,229.80421,294.93402,188.95055,687.24677,1297.284,268.82092924198093,4213577888.98298,2775072389.2116985,9062597445.01655,18456549875.00155
23362,48556,1069568.0,PGC675676,34.5987,-33.4895495,,95.0,0.64565426,0.23988329,0.015200515,24.798481,162.49187,264.20663,354.32132,185.29205,101.97999,74.24702,1352.4188,65.86278494885981,158904782.1469933,89907339.43439187,37982852.80950559,1161178420.9275885
103373,212609,109501.0,SDSSJ143338.22+410227.4,218.4092415,41.040942,E?,101.61,0.4528976,0.25527012,0.098220944,25.415482,49.199165,112.53905,220.8836,247.06178,168.14442,492.5147,728.0376,451.5712134638421,9959970771.380116,6968430250.535742,18099374595.43206,29033811271.7764
